name,postscript_name,codepoints,opentype_category,export
uni0714.Fina.SYRJ,,,,true
uni0714.Fina.SYRN,,,,true
uni0714.FinaW.SYRN,,,,true
uni0714.FinaWide,,,,true
uni0714.FinaWide.SYRJ,,,,true
uni0714.FinaWide2,,,,true
uni0714.FinaWide2.SYRJ,,,,true
uni0714.Init,,,,true
uni0714.Init.SYRJ,,,,true
uni0714.Init.SYRN,,,,true
uni0714.InitLong,,,,true
uni0714.Medi,,,,true
uni0714.Medi.SYRJ,,,,true
uni0714.Medi.SYRN,,,,true
uni0714.MediLong,,,,true
uni0714.MediW.SYRN,,,,true
uni0714.MediWide,,,,true
uni0714.MediWide.SYRJ,,,,true
uni0714.MediWide2,,,,true
uni0714.MediWide2.SYRJ,,,,true
uni0714.SYRJ,,,,true
uni0714.SYRN,,,,true
uni0715,,0715,,true
uni0715.Fina,,,,true
uni0715.Fina.SYRJ,,,,true
uni0715.Fina.SYRN,,,,true
uni0715.FinaQR.SYRJ,,,,true
uni0715.FinaQR.SYRN,,,,true
uni0715.QR.SYRJ,,,,true
uni0715.SYRJ,,,,true
uni0715.SYRN,,,,true
uni0716,,0716,,true
uni0716.Fina,,,,true
uni0716.Fina.SYRJ,,,,true
uni0716.Fina.SYRN,,,,true
uni0716.FinaQR.SYRJ,,,,true
uni0716.FinaQR.SYRN,,,,true
uni0716.QR.SYRJ,,,,true
uni0716.SYRJ,,,,true
uni0716.SYRN,,,,true
uni0717,,0717,,true
uni0717.Fina,,,,true
uni0717.Fina.SYRJ,,,,true
uni0717.Fina.SYRN,,,,true
uni0717.SYRJ,,,,true
uni0717.SYRN,,,,true
uni0718,,0718,,true
uni0718.Fina,,,,true
uni0718.Fina.SYRJ,,,,true
uni0718.Fina.SYRN,,,,true
uni0718.SYRJ,,,,true
uni0718.SYRN,,,,true
uni0719,,0719,,true
uni0719.Fina,,,,true
uni0719.Fina.SYRJ,,,,true
uni0719.Fina.SYRN,,,,true
uni0719.FinaW.SYRN,,,,true
uni0719.SYRJ,,,,true
uni0719.SYRN,,,,true
uni071A,,071A,,true
uni071A.Fina,,,,true
uni071A.Fina.SYRJ,,,,true
uni071A.Fina.SYRN,,,,true
uni071A.Init,,,,true
uni071A.Init.SYRJ,,,,true
uni071A.Init.SYRN,,,,true
uni071A.Medi,,,,true
uni071A.Medi.SYRJ,,,,true
uni071A.Medi.SYRN,,,,true
uni071A.SYRJ,,,,true
uni071A.SYRN,,,,true
uni071B,,071B,,true
uni071B.Fina,,,,true
uni071B.Fina.SYRJ,,,,true
uni071B.Fina.SYRN,,,,true
uni071B.Init,,,,true
uni071B.Init.SYRJ,,,,true
uni071B.Init.SYRN,,,,true
uni071B.InitLong.SYRJ,,,,true
uni071B.InitLongG,,,,true
uni071B.InitN.SYRN,,,,true
uni071B.Medi,,,,true
uni071B.Medi.SYRJ,,,,true
uni071B.Medi.SYRN,,,,true
uni071B.MediLong.SYRJ,,,,true
uni071B.MediLongG,,,,true
uni071B.MediN.SYRN,,,,true
uni071B.SYRJ,,,,true
uni071B.SYRN,,,,true
uni071C,,071C,,true
uni071C.Fina,,,,true
uni071C.Fina.SYRJ,,,,true
uni071C.Fina.SYRN,,,,true
uni071C.Init,,,,true
uni071C.Init.SYRJ,,,,true
uni071C.Init.SYRN,,,,true
uni071C.InitLong.SYRJ,,,,true
uni071C.InitLongG,,,,true
uni071C.InitN.SYRN,,,,true
uni071C.Medi,,,,true
uni071C.Medi.SYRJ,,,,true
uni071C.Medi.SYRN,,,,true
uni071C.MediLong.SYRJ,,,,true
uni071C.MediLongG,,,,true
uni071C.MediN.SYRN,,,,true
uni071C.SYRJ,,,,true
uni071C.SYRN,,,,true
uni071D,,071D,,true
uni071D.Fina,,,,true
uni071D.Fina.SYRJ,,,,true
uni071D.Fina.SYRN,,,,true
uni071D.Init,,,,true
uni071D.Init.SYRJ,,,,true
uni071D.Init.SYRN,,,,true
uni071D.InitB,,,,true
uni071D.Medi,,,,true
uni071D.Medi.SYRJ,,,,true
uni071D.Medi.SYRN,,,,true
uni071D.MediB,,,,true
uni071D.SYRJ,,,,true
uni071D.SYRN,,,,true
uni071E,,071E,,true
uni071E.SYRJ,,,,true
uni071E.SYRN,,,,true
uni071F,,071F,,true
uni071F.Fina,,,,true
uni071F.Fina.SYRJ,,,,true
uni071F.Fina.SYRN,,,,true
uni071F.Init,,,,true
uni071F.Init.SYRJ,,,,true
uni071F.Init.SYRN,,,,true
uni071F.Medi,,,,true
uni071F.Medi.SYRJ,,,,true
uni071F.Medi.SYRN,,,,true
uni071F.SYRJ,,,,true
uni071F.SYRN,,,,true
uni0720,,0720,,true
uni0720.Fina,,,,true
uni0720.Fina.SYRJ,,,,true
uni0720.Fina.SYRN,,,,true
uni0720.Init,,,,true
uni0720.Init.SYRJ,,,,true
uni0720.Init.SYRN,,,,true
uni0720.InitB,,,,true
uni0720.InitLiga.SYRJ,,,,true
uni0720.InitLong.SYRJ,,,,true
uni0720.InitN.SYRJ,,,,true
uni0720.InitN.SYRN,,,,true
uni0720.Medi,,,,true
uni0720.Medi.SYRJ,,,,true
uni0720.Medi.SYRN,,,,true
uni0720.MediB,,,,true
uni0720.MediLiga.SYRJ,,,,true
uni0720.MediLong.SYRJ,,,,true
uni0720.MediN.SYRJ,,,,true
uni0720.MediN.SYRN,,,,true
uni0720.SYRJ,,,,true
uni0720.SYRN,,,,true
uni0721,,0721,,true
uni0721.Fina,,,,true
uni0721.Fina.SYRJ,,,,true
uni0721.Fina.SYRN,,,,true
uni0721.Init,,,,true
uni0721.Init.SYRJ,,,,true
uni0721.Init.SYRN,,,,true
uni0721.InitN.SYRN,,,,true
uni0721.Medi,,,,true
uni0721.Medi.SYRJ,,,,true
uni0721.Medi.SYRN,,,,true
uni0721.MediN.SYRN,,,,true
uni0721.SYRJ,,,,true
uni0721.SYRN,,,,true
uni0722,,0722,,true
uni0722.Fina,,,,true
uni0722.Fina.SYRJ,,,,true
uni0722.Fina.SYRN,,,,true
uni0722.FinaG.SYRJ,,,,true
uni0722.FinaSoft,,,,true
uni0722.FinaW.SYRJ,,,,true
uni0722.Init,,,,true
uni0722.Init.SYRJ,,,,true
uni0722.Init.SYRN,,,,true
uni0722.InitB,,,,true
uni0722.InitLiga.SYRJ,,,,true
uni0722.InitN.SYRJ,,,,true
uni0722.Medi,,,,true
uni0722.Medi.SYRJ,,,,true
uni0722.Medi.SYRN,,,,true
uni0722.MediB,,,,true
uni0722.MediLiga.SYRJ,,,,true
uni0722.MediN.SYRJ,,,,true
uni0722.MediW.SYRN,,,,true
uni0722.SYRJ,,,,true
uni0722.SYRN,,,,true
uni0722.Sadhe.SYRJ,uni0722.Sadhe,,,true
uni0723,,0723,,true
uni0723.Fina,,,,true
uni0723.Fina.SYRJ,,,,true
uni0723.Fina.SYRN,,,,true
uni0723.Init,,,,true
uni0723.Init.SYRJ,,,,true
uni0723.Init.SYRN,,,,true
uni0723.Medi,,,,true
uni0723.Medi.SYRJ,,,,true
uni0723.Medi.SYRN,,,,true
uni0723.SYRJ,,,,true
uni0723.SYRN,,,,true
uni0724,,0724,,true
uni0724.Fina,,,,true
uni0724.Fina.SYRJ,,,,true
uni0724.Fina.SYRN,,,,true
uni0724.Init,,,,true
uni0724.Init.SYRJ,,,,true
uni0724.Init.SYRN,,,,true
uni0724.Medi,,,,true
uni0724.Medi.SYRJ,,,,true
uni0724.Medi.SYRN,,,,true
uni0724.SYRJ,,,,true
uni0724.SYRN,,,,true
uni0725,,0725,,true
uni0725.Fina,,,,true
uni0725.Fina.SYRJ,,,,true
uni0725.Fina.SYRN,,,,true
uni0725.Init,,,,true
uni0725.Init.SYRJ,,,,true
uni0725.Init.SYRN,,,,true
uni0725.InitN.SYRN,,,,true
uni0725.Medi,,,,true
uni0725.Medi.SYRJ,,,,true
uni0725.Medi.SYRN,,,,true
uni0725.MediN.SYRN,,,,true
uni0725.SYRJ,,,,true
uni0725.SYRN,,,,true
uni0726,,0726,,true
uni0726.Fina,,,,true
uni0726.Fina.SYRJ,,,,true
uni0726.Fina.SYRN,,,,true
uni0726.FinaQR.SYRN,,,,true
uni0726.Init,,,,true
uni0726.Init.SYRJ,,,,true
uni0726.Init.SYRN,,,,true
uni0726.Medi,,,,true
uni0726.Medi.SYRJ,,,,true
uni0726.Medi.SYRN,,,,true
uni0726.MediQR.SYRN,,,,true
uni0726.SYRJ,,,,true
uni0726.SYRN,,,,true
uni0727,,0727,,true
uni0727.Fina,,,,true
uni0727.Fina.SYRJ,,,,true
uni0727.Fina.SYRN,,,,true
uni0727.Init,,,,true
uni0727.Init.SYRJ,,,,true
